nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_W_score,original_decile,W_expanded_decile,GB_IMD_W_rank,GB_IMD_W_pop_decile,GB_IMD_W_pop_quintile
E,E01007769,86.056,94.69999999999999,50.1,134.9970564816279,1,1,1.0,1,1
E,E01012737,91.27,92.4,64.4,131.56143601430182,1,1,2.0,1,1
E,E01012673,91.186,90.4,61.4,131.52750319171048,1,1,3.0,1,1
E,E01012670,88.186,80.60000000000001,48.8,127.5191619025738,1,1,4.0,1,1
E,E01007715,83.902,82.3,45.800000000000004,125.72787254771976,1,1,5.0,1,1
E,E01012671,89.872,74.6,49.0,124.78573617306833,1,1,6.0,1,1
E,E01021988,94.223,75.0,62.2,122.98505950817447,1,1,7.0,1,1
E,E01007531,73.745,86.6,37.7,122.18483078555333,1,1,8.0,1,1
E,E01013138,84.525,77.0,46.400000000000006,122.17038288956115,1,1,9.0,1,1
E,E01007532,83.683,76.9,45.0,121.91183948207392,1,1,10.0,1,1
E,E01012682,86.439,75.3,49.2,121.52925200663574,1,1,11.0,1,1
E,E01013136,82.884,87.7,59.699999999999996,121.5224402893032,1,1,12.0,1,1
E,E01013208,80.749,83.6,49.8,121.27119802390341,1,1,13.0,1,1
E,E01011433,78.55,78.0,37.6,121.0190034781767,1,1,14.0,1,1
E,E01006556,76.054,80.5,36.1,120.96419677327474,1,1,15.0,1,1
E,E01008291,78.611,83.0,45.2,120.8933481111171,1,1,16.0,1,1
E,E01007949,78.016,81.3,41.6,120.84142440468331,1,1,17.0,1,1
E,E01026625,80.525,82.0,47.9,120.82068773244008,1,1,18.0,1,1
E,E01020972,86.312,75.6,50.8,120.79700437195118,1,1,19.0,1,1
E,E01012076,79.998,80.30000000000001,46.2,119.86994988695335,1,1,20.0,1,1
E,E01012679,86.142,73.1,48.699999999999996,119.84136637092746,1,1,21.0,1,1
E,E01012683,86.23,77.5,56.2,119.35228925176123,1,1,22.0,1,1
E,E01012040,79.882,71.39999999999999,34.4,119.2020913632877,1,1,23.0,1,1
E,E01001826,56.611,99.8,27.0,119.08701184479611,1,1,24.0,1,1
E,E01010964,78.601,78.0,41.8,118.92593408476475,1,1,25.0,1,1
E,E01012675,83.727,74.5,47.5,118.90682936354483,1,1,26.0,1,1
E,E01001800,61.174,93.89999999999999,28.4,118.89080574256533,1,1,27.0,1,1
E,E01008916,74.722,80.4,37.3,118.85212914208641,1,1,28.0,1,1
E,E01007940,76.584,82.6,44.4,118.83894323967804,1,1,29.0,1,1
E,E01034842,82.444,75.7,46.800000000000004,118.77947445918095,1,1,30.0,1,1
E,E01005918,82.633,81.2,55.50000000000001,118.5977697827143,1,1,31.0,1,1
E,E01011432,76.227,75.1,34.2,118.12987331601684,1,1,32.0,1,1
E,E01017035,77.562,80.4,44.9,118.00331882946868,1,1,33.0,1,1
E,E01021015,82.133,75.7,47.699999999999996,117.9866607123317,1,1,34.0,1,1
E,E01010612,80.94,77.10000000000001,47.4,117.89883569463785,1,1,35.0,1,1
E,E01012286,80.219,78.3,48.1,117.65666217734487,1,1,36.0,1,1
E,E01012672,85.567,67.5,43.8,117.59326455301917,1,1,37.0,1,1
E,E01010666,81.237,72.1,41.6,117.48696221236116,1,1,38.0,1,1
E,E01010819,80.663,77.10000000000001,47.8,117.39805280410978,1,1,39.0,1,1
E,E01010710,82.438,68.5,39.5,117.18463491130493,1,1,40.0,1,1
E,E01005434,80.241,72.0,40.2,117.0637175893313,1,1,41.0,1,1
E,E01009239,66.029,94.5,43.9,116.60088781605316,1,1,42.0,1,1
E,E01010617,75.916,78.60000000000001,41.8,116.49778928620049,1,1,43.0,1,1
E,E01012019,78.371,81.6,51.300000000000004,116.48284453014371,1,1,44.0,1,1
E,E01011344,76.495,72.39999999999999,34.5,116.26765310854668,1,1,45.0,1,1
E,E01005482,82.386,76.3,52.5,116.24625766722276,1,1,46.0,1,1
E,E01022031,81.129,73.6,46.300000000000004,116.07675488431536,1,1,47.0,1,1
E,E01010739,72.039,78.5,35.099999999999994,115.70343199952654,1,1,48.0,1,1
