nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile
N,95ZZ06W1,75.19204448526636,25.8,53.0,100.1606717775758,1,1,1.0,1,1
N,95GG47S2,71.3357266598529,21.0,57.0,98.9267516472405,1,1,2.0,1,1
N,95GG35S2,68.03145551017063,18.8,59.4,97.3090607509213,1,1,3.0,1,1
N,95MM12S2,71.31017101003705,22.0,50.7,95.46763184092723,1,1,4.0,1,1
N,95MM27S1,69.4573523850757,23.2,51.9,94.4810271757931,1,1,5.0,1,1
E,E01021988,94.223,75.0,62.2,94.223,1,1,6.0,1,1
N,95GG02S2,70.80777998789061,24.6,48.4,93.76803930444156,1,1,7.0,1,1
N,95MM28W1,68.35392809625684,23.0,51.5,93.28545657032159,1,1,8.0,1,1
N,95GG02S3,67.66563031406604,18.6,49.4,91.5302879350843,1,1,9.0,1,1
N,95RR10W1,66.14427713958729,20.4,51.7,91.4373066416759,1,1,10.0,1,1
E,E01012737,91.27,92.4,64.4,91.27,1,1,11.0,1,1
E,E01012673,91.186,90.4,61.4,91.186,1,1,12.0,1,1
E,E01012671,89.872,74.6,49.0,89.872,1,1,13.0,1,1
N,95MM10S1,66.50126331917342,21.4,48.2,89.8443572120492,1,1,14.0,1,1
N,95MM05W1,64.9777482788176,21.5,49.4,89.14944009756431,1,1,15.0,1,1
N,95GG51S1,68.0669498644099,24.7,42.9,88.34018707286916,1,1,16.0,1,1
N,95MM25S1,62.840924741171385,18.7,51.3,88.29310361344649,1,1,17.0,1,1
E,E01012670,88.186,80.60000000000001,48.8,88.186,1,1,18.0,1,1
N,95SS06S2,62.7934169291008,16.8,49.9,87.48735960582624,1,1,19.0,1,1
N,95GG47S1,63.87320556774916,17.9,47.7,87.24376321342503,1,1,20.0,1,1
N,95GG02S1,63.85081941072444,20.6,47.6,87.16938685091166,1,1,21.0,1,1
N,95GG48S2,61.41550847483902,14.4,51.3,87.03051128582243,1,1,22.0,1,1
N,95GG51S2,65.0456365177195,20.6,45.3,86.97313197995506,1,1,23.0,1,1
N,95GG40S2,63.327878052603126,17.2,47.4,86.59708587502489,1,1,24.0,1,1
E,E01012682,86.439,75.3,49.2,86.439,1,1,25.0,1,1
E,E01020972,86.312,75.6,50.8,86.312,1,1,26.0,1,1
E,E01012683,86.23,77.5,56.2,86.23,1,1,27.0,1,1
N,95GG35S1,60.67320844659937,15.0,50.9,86.1548140615488,1,1,28.0,1,1
E,E01012679,86.142,73.1,48.699999999999996,86.142,1,1,29.0,1,1
E,E01007769,86.056,94.69999999999999,50.1,86.056,1,1,30.0,1,1
E,E01022025,85.631,65.2,52.300000000000004,85.631,1,1,31.0,1,1
N,95MM13S2,62.385524303145296,19.9,47.1,85.59873422986426,1,1,32.0,1,1
E,E01012672,85.567,67.5,43.8,85.567,1,1,33.0,1,1
N,95GG51S3,63.61977882222149,22.3,43.3,84.61920155069953,1,1,34.0,1,1
E,E01013138,84.525,77.0,46.400000000000006,84.525,1,1,35.0,1,1
E,E01012751,84.304,65.4,46.2,84.304,1,1,36.0,1,1
N,95GG19S1,60.964303531100654,20.3,46.7,84.12166872992294,1,1,37.0,1,1
E,E01007715,83.902,82.3,45.800000000000004,83.902,1,1,38.0,1,1
E,E01012675,83.727,74.5,47.5,83.727,1,1,39.0,1,1
E,E01007532,83.683,76.9,45.0,83.683,1,1,40.0,1,1
N,95LL26S1,64.25391282690599,24.4,40.1,83.43538367928484,1,1,41.0,1,1
N,95MM11W1,58.40033442361173,19.0,49.2,83.21426323539421,1,1,42.0,1,1
E,E01008736,83.195,64.3,53.5,83.195,1,1,43.0,1,1
E,E01013136,82.884,87.7,59.699999999999996,82.884,1,1,44.0,1,1
E,E01035473,82.823,73.6,52.400000000000006,82.823,1,1,45.0,1,1
E,E01005918,82.633,81.2,55.50000000000001,82.633,1,1,46.0,1,1
N,95GG19S2,62.54778692944572,20.5,41.3,82.5787151714935,1,1,47.0,1,1
E,E01034842,82.444,75.7,46.800000000000004,82.444,1,1,48.0,1,1
E,E01010710,82.438,68.5,39.5,82.438,1,1,49.0,1,1
N,95SS06S3,60.4405709951999,17.1,44.4,82.40317250041613,1,1,50.0,1,1
E,E01005482,82.386,76.3,52.5,82.386,1,1,51.0,1,1
E,E01021015,82.133,75.7,47.699999999999996,82.133,1,1,52.0,1,1
N,95MM25S2,60.33400162180373,21.6,43.3,81.70875554168632,1,1,53.0,1,1
E,E01026383,81.615,62.6,45.1,81.615,1,1,54.0,1,1
N,95GG21S3,59.02196656280781,17.9,44.9,81.41935067157168,1,1,55.0,1,1
N,95RR03W1,57.57368929928405,18.9,47.0,81.28200318795388,1,1,56.0,1,1
E,E01010666,81.237,72.1,41.6,81.237,1,1,57.0,1,1
E,E01005682,81.219,73.6,49.2,81.219,1,1,58.0,1,1
E,E01022031,81.129,73.6,46.300000000000004,81.129,1,1,59.0,1,1
N,95GG40S1,59.84934610772849,19.3,42.9,81.06127234479675,1,1,60.0,1,1
E,E01032332,81.036,71.0,44.2,81.036,1,1,61.0,1,1
E,E01010612,80.94,77.10000000000001,47.4,80.94,1,1,62.0,1,1
E,E01006386,80.934,68.2,49.2,80.934,1,1,63.0,1,1
N,95GG21S2,58.91808981722954,15.2,44.1,80.8909608288305,1,1,64.0,1,1
N,95GG48S3,56.47710421319682,14.1,48.0,80.85615351716643,1,1,65.0,1,1
E,E01013208,80.749,83.6,49.8,80.749,1,1,66.0,1,1
E,E01010819,80.663,77.10000000000001,47.8,80.663,1,1,67.0,1,1
E,E01025584,80.657,61.3,46.6,80.657,1,1,68.0,1,1
E,E01012681,80.642,53.1,41.0,80.642,1,1,69.0,1,1
N,95JJ03S1,58.73536888800195,25.6,43.9,80.62001722718462,1,1,70.0,1,1
E,E01026625,80.525,82.0,47.9,80.525,1,1,71.0,1,1
N,95GG35S3,58.52464354989597,16.3,44.0,80.4879101980146,1,1,72.0,1,1
E,E01012736,80.47,56.8,41.3,80.47,1,1,73.0,1,1
E,E01005434,80.241,72.0,40.2,80.241,1,1,74.0,1,1
E,E01012286,80.219,78.3,48.1,80.219,1,1,75.0,1,1
E,E01020752,80.183,65.7,51.4,80.183,1,1,76.0,1,1
E,E01012076,79.998,80.30000000000001,46.2,79.998,1,1,77.0,1,1
E,E01012040,79.882,71.39999999999999,34.4,79.882,1,1,78.0,1,1
E,E01012655,79.849,71.2,49.3,79.849,1,1,79.0,1,1
N,95SS29S2,55.95244338644771,18.8,46.6,79.62776122801232,1,1,80.0,1,1
E,E01012037,79.457,66.60000000000001,38.6,79.457,1,1,81.0,1,1
E,E01006611,79.409,57.199999999999996,41.3,79.409,1,1,82.0,1,1
E,E01028276,79.3,68.8,47.9,79.3,1,1,83.0,1,1
E,E01024667,79.076,65.5,44.5,79.076,1,1,84.0,1,1
E,E01024676,79.012,59.0,41.699999999999996,79.012,1,1,85.0,1,1
E,E01015842,78.985,69.5,45.5,78.985,1,1,86.0,1,1
E,E01026597,78.831,69.0,42.699999999999996,78.831,1,1,87.0,1,1
E,E01007273,78.75,68.7,47.599999999999994,78.75,1,1,88.0,1,1
E,E01008291,78.611,83.0,45.2,78.611,1,1,89.0,1,1
E,E01010964,78.601,78.0,41.8,78.601,1,1,90.0,1,1
E,E01024663,78.598,74.2,45.4,78.598,1,1,91.0,1,1
E,E01026624,78.584,61.6,40.2,78.584,1,1,92.0,1,1
E,E01012738,78.563,61.1,37.8,78.563,1,1,93.0,1,1
E,E01011433,78.55,78.0,37.6,78.55,1,1,94.0,1,1
E,E01011950,78.53,62.4,50.0,78.53,1,1,95.0,1,1
E,E01012170,78.454,79.3,50.6,78.454,1,1,96.0,1,1
E,E01012019,78.371,81.6,51.300000000000004,78.371,1,1,97.0,1,1
E,E01007544,78.341,72.2,44.7,78.341,1,1,98.0,1,1
E,E01027416,78.338,72.39999999999999,50.9,78.338,1,1,99.0,1,1
E,E01012674,78.29,61.9,42.5,78.29,1,1,100.0,1,1
E,E01006760,78.283,63.5,45.800000000000004,78.283,1,1,101.0,1,1
E,E01005189,78.264,65.9,41.5,78.264,1,1,102.0,1,1
E,E01006558,78.253,58.599999999999994,44.0,78.253,1,1,103.0,1,1
E,E01012045,78.218,75.1,45.7,78.218,1,1,104.0,1,1
E,E01010663,78.185,69.3,36.1,78.185,1,1,105.0,1,1
E,E01035622,78.171,61.7,44.2,78.171,1,1,106.0,1,1
E,E01012089,78.164,69.3,46.0,78.164,1,1,107.0,1,1
E,E01012041,78.153,66.9,66.10000000000001,78.153,1,1,108.0,1,1
E,E01007970,78.107,67.60000000000001,55.2,78.107,1,1,109.0,1,1
E,E01013480,78.105,61.3,40.0,78.105,1,1,110.0,1,1
E,E01007133,78.064,77.60000000000001,54.1,78.064,1,1,111.0,1,1
E,E01012112,78.039,72.6,50.0,78.039,1,1,112.0,1,1
E,E01007949,78.016,81.3,41.6,78.016,1,1,113.0,1,1
E,E01007122,77.987,71.2,46.300000000000004,77.987,1,1,114.0,1,1
E,E01012622,77.981,74.7,42.8,77.981,1,1,115.0,1,1
E,E01011999,77.937,63.2,41.699999999999996,77.937,1,1,116.0,1,1
E,E01008978,77.901,63.0,49.1,77.901,1,1,117.0,1,1
E,E01004960,77.863,74.6,44.7,77.863,1,1,118.0,1,1
E,E01006413,77.857,73.6,50.0,77.857,1,1,119.0,1,1
E,E01012100,77.752,63.2,50.4,77.752,1,1,120.0,1,1
E,E01017040,77.736,73.5,42.4,77.736,1,1,121.0,1,1
E,E01014831,77.683,74.0,46.7,77.683,1,1,122.0,1,1
E,E01024657,77.654,61.4,38.7,77.654,1,1,123.0,1,1
E,E01015155,77.631,70.89999999999999,45.5,77.631,1,1,124.0,1,1
E,E01017035,77.562,80.4,44.9,77.562,1,1,125.0,1,1
E,E01012044,77.504,76.0,44.7,77.504,1,1,126.0,1,1
E,E01026173,77.457,65.7,43.6,77.457,1,1,127.0,1,1
E,E01005754,77.438,69.1,46.2,77.438,1,1,128.0,1,1
E,E01005203,77.432,69.6,43.5,77.432,1,1,129.0,1,1
E,E01007127,77.426,64.3,44.7,77.426,1,1,130.0,1,1
E,E01024609,77.304,62.3,38.7,77.304,1,1,131.0,1,1
N,95ZZ02W1,54.43601762237555,20.7,44.6,77.19360823415559,1,1,132.0,1,1
E,E01020909,77.142,76.8,48.8,77.142,1,1,133.0,1,1
