nation,lsoa,overall_local_score,income_score,employment_score,UK_IMD_W_score,original_decile,W_expanded_decile,UK_IMD_W_rank,UK_IMD_W_pop_decile,UK_IMD_W_pop_quintile
N,95ZZ06W1,75.19204448526636,25.8,53.0,133.27419581040692,1,1,1.0,1,1
N,95GG47S2,71.3357266598529,21.0,57.0,132.6343340769742,1,1,2.0,1,1
N,95GG35S2,68.03145551017063,18.8,59.4,131.17783351027617,1,1,3.0,1,1
E,E01021988,94.223,75.0,62.2,128.01305491084264,1,1,4.0,1,1
N,95MM12S2,71.31017101003705,22.0,50.7,127.03727951078065,1,1,5.0,1,1
N,95MM27S1,69.4573523850757,23.2,51.9,126.09171112421123,1,1,6.0,1,1
E,E01012737,91.27,92.4,64.4,124.8806500519656,1,1,7.0,1,1
N,95MM28W1,68.35392809625684,23.0,51.5,124.54321014020391,1,1,8.0,1,1
N,95GG02S2,70.80777998789061,24.6,48.4,124.45997829140444,1,1,9.0,1,1
E,E01012673,91.186,90.4,61.4,124.12646346682246,1,1,10.0,1,1
N,95RR10W1,66.14427713958729,20.4,51.7,122.32720215711588,1,1,11.0,1,1
N,95GG02S3,67.66563031406604,18.6,49.4,121.94139767824856,1,1,12.0,1,1
E,E01012671,89.872,74.6,49.0,119.82720533876535,1,1,13.0,1,1
N,95MM10S1,66.50126331917342,21.4,48.2,119.61967938775337,1,1,14.0,1,1
N,95MM05W1,64.9777482788176,21.5,49.4,119.03071127383916,1,1,15.0,1,1
N,95MM25S1,62.840924741171385,18.7,51.3,118.39641625311936,1,1,16.0,1,1
E,E01012670,88.186,80.60000000000001,48.8,117.72256670750753,1,1,17.0,1,1
N,95SS06S2,62.7934169291008,16.8,49.9,117.10733029258596,1,1,18.0,1,1
E,E01012683,86.23,77.5,56.2,116.93829082906142,1,1,19.0,1,1
N,95GG48S2,61.41550847483902,14.4,51.3,116.85284414220484,1,1,20.0,1,1
N,95GG51S1,68.0669498644099,24.7,42.9,116.62979719116403,1,1,21.0,1,1
N,95GG47S1,63.87320556774916,17.9,47.7,116.33176190213592,1,1,22.0,1,1
N,95GG02S1,63.85081941072444,20.6,47.6,116.21911724209963,1,1,23.0,1,1
E,E01020972,86.312,75.6,50.8,115.86585176309582,1,1,24.0,1,1
N,95GG35S1,60.67320844659937,15.0,50.9,115.69540179164429,1,1,25.0,1,1
E,E01012682,86.439,75.3,49.2,115.67365162804968,1,1,26.0,1,1
N,95GG51S2,65.0456365177195,20.6,45.3,115.47970941319309,1,1,27.0,1,1
N,95GG40S2,63.327878052603126,17.2,47.4,115.47602240923385,1,1,28.0,1,1
E,E01007769,86.056,94.69999999999999,50.1,115.40086597163452,1,1,29.0,1,1
E,E01022025,85.631,65.2,52.300000000000004,115.35904721170435,1,1,30.0,1,1
E,E01012679,86.142,73.1,48.699999999999996,115.20197448648497,1,1,31.0,1,1
N,95MM13S2,62.385524303145296,19.9,47.1,114.19034631671516,1,1,32.0,1,1
E,E01013136,82.884,87.7,59.699999999999996,113.6077406353678,1,1,33.0,1,1
E,E01012672,85.567,67.5,43.8,113.4349075231619,1,1,34.0,1,1
E,E01013138,84.525,77.0,46.400000000000006,112.72564610933162,1,1,35.0,1,1
E,E01008736,83.195,64.3,53.5,112.64153219783469,1,1,36.0,1,1
E,E01012751,84.304,65.4,46.2,112.41203146342076,1,1,37.0,1,1
E,E01005918,82.633,81.2,55.50000000000001,112.38879231743338,1,1,38.0,1,1
N,95GG19S1,60.964303531100654,20.3,46.7,112.29770601001287,1,1,39.0,1,1
N,95GG51S3,63.61977882222149,22.3,43.3,112.16760196362873,1,1,40.0,1,1
E,E01012675,83.727,74.5,47.5,111.98893840621247,1,1,41.0,1,1
E,E01035473,82.823,73.6,52.400000000000006,111.9478657966153,1,1,42.0,1,1
E,E01007715,83.902,82.3,45.800000000000004,111.83370385037989,1,1,43.0,1,1
N,95MM11W1,58.40033442361173,19.0,49.2,111.73127559266459,1,1,44.0,1,1
E,E01005482,82.386,76.3,52.5,111.43533139125846,1,1,45.0,1,1
E,E01007532,83.683,76.9,45.0,111.39223567646741,1,1,46.0,1,1
